goods_id(商品ID),cat_id(商品类型ID),goods_sn(商品编号),goods_name(商品名称),click_count(商品浏览人次),goods_high(商品亮点),,market_price(市场价格),shop_price(售价),promote_price(促销价)
313,36,Pechoin000313,百雀羚新品上市套装 水嫩保湿劲爆超值礼盒 洗面奶水乳液BB霜面膜眼霜  水嫩补水保湿美白 去多余油脂和老化角质 隔离遮瑕 控油裸妆 淡化黑眼圈眼袋 。送随机赠品,6182,,691,348,249,249
314,49,Pechoin000314,百雀羚 水嫩精纯明星活肤水100ml 送面膜1片 化妆水爽肤水保湿补水收缩毛孔,13254,,563,139.2,116,116
315,64,Pechoin000315,百雀羚至臻皙白焕亮防晒霜40g 送:面膜1片+随机甘油+随机瓶装小样 防紫外线防晒SPF30美白隔离防晒乳 卓妍淡斑,14864,赠品,456,168,139,136
316,37,Pechoin000316,百雀羚气韵肌源奢白雪颜润白礼盒  美白淡斑提亮肤色正品女补水保湿,42284,,666,549,435,435
317,5,Pechoin000317,百雀羚护发 银杏护发素500ml 抚平毛躁受损 双重补水锁水 深层营养秀发,15842,,693,30,25,25
318,53,Pechoin000318,百雀羚 (气垫BB)肌源透润气垫修容霜15g*2个  裸妆bb霜 【亮肤色】送：三生花清妍悦肤舒润卸妆水253ml一瓶   水润遮瑕 遮盖暗沉细纹修饰瑕疵,33683,底妆首选,711,198,158,158
449,76,Pechoin000449,百雀羚小雀幸面膜20片 款式随机 补水保湿收缩毛孔免洗女小确幸,10551,,794,240,89,89
493,49,Pechoin000493,百雀羚草本水嫩精纯焕肤去角质素70g　面部温和去死皮保湿美白男女,24239,,702,128,75,0
319,48,Pechoin000319,百雀羚超值特惠装面膜 2片水嫩倍现盈采面膜+3片8杯水保湿水嫩面膜 ,4597,,873,68,45,0
320,55,Pechoin000320,百雀羚气韵肌源赋活紧致精粹水100ml   送:面膜1片+随机瓶装小样  补水保湿滋润收缩毛孔平衡爽肤 持久滋润,10322,,819,182.4,152,0
321,55,Pechoin000321,百雀羚气韵肌源赋活弹润育肤乳100ml  送:面膜1片+随机瓶装小样 紧致饱满丰盈 增强皮肤弹性 清爽保湿 补水,10218,,856,190.8,159,0
322,12,Pechoin000322,百雀羚气韵草本 水滢嫩肤保湿面膜5片装 正品专柜补水保湿亮肤,9622,,765,46.8,39,0
323,55,Pechoin000323,百雀羚气韵肌源赋活焕颜精华液40ml 送:面膜1片+随机瓶装小样 弹活隐纹 焕采活颜 收缩毛孔,9990,,822,201.6,168,0
324,54,Pechoin000324,百雀羚气韵肌源奢白舒纹眼部精华露20ml提拉紧致补水淡纹淡化鱼尾纹,12930,,778,238,188,0
325,55,Pechoin000325,百雀羚气韵肌源赋活紧肤滋养霜50g 送:面膜1片+随机瓶装小样 紧致提拉 面霜 保湿补水美白 专柜正品,9612,,801,218,135,0
326,53,Pechoin000326,百雀羚气韵肌源透润细致亮采眼霜20g  送:面膜1片+随机瓶装小样  改善细纹补水提拉紧致,7908,,801,228,128,0
327,37,Pechoin000327,百雀羚气韵肌源透润挚享礼盒（洁容膏+水+乳） 套装 送：随机面膜2片+甘油一瓶+随机瓶装小样2个+粉扑一个  套装缺货，暂发单瓶装哦！ 吸走多余油脂调节水油平衡,21588,热销套装,734,363,269,269
374,74,Pechoin000374,百雀羚三生花舒缓细肤倍护防晒乳50g 特惠送百雀羚芦荟护手霜40g+百雀羚面膜3片    隔离防紫外线防辐射 敏感肌可用,29849,买一送四,534,118,98,98
360,5,Pechoin000360,百雀羚草本密集润泽补水面膜5片（1盒） 滋润保湿改善淡化干细纹,16274,,819,33.6,28,0
388,38,Pechoin000388,百雀羚男士护肤化妆品3件套装 洁面乳+爽肤水+平衡乳 净衡保湿清爽补水控油,34372,男士控油,763,224,188,188
357,69,Pechoin000357,百雀羚肌初赋活紧致抗皱套装5件套  水+乳+霜+精华液+眼部精华   送:8杯面膜1盒+甘油随机+护手霜+化妆包,48604,弹力紧致,728,1588,799,799
356,36,Pechoin000356,百雀羚 水漾莹透金牌超值礼盒 水嫩倍现精华水乳眼霜BB套盒 送:面膜2片+化妆棉+化妆包   深度补水保湿 养眼遮瑕,8528,高效补水,834,321.6,268,258
451,76,Pechoin000451,新品上市 百雀羚草本水能量绿茶酵母精华水100ml  送：百雀羚面膜3片 摇摇微精华爽肤水,7405,买一送三,883,188,95,95
328,13,Pechoin000328,百雀羚 气韵多效防护隔离霜30g   防辐射美白保湿补水隔离  绿色:适合偏红肌肤 正常肤色,11404,本款绿色,547,106.8,89,89
